#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Fri Jun 17 21:51:56 2016 -- reformated by PCGen PrettyLST v6.06.00

###--------------------------------------------###
##	New Formula Parser Support Mechanisms	##
###--------------------------------------------###


# ------------------------------
# Aphorite
# ------------------------------

###Block: Grant Abilities
# Ability Name						Define						Ability
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceAbilityScores|0				ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Ability Scores|PREVAREQ:Aphorite_ReplaceAbilityScores,0
###Block: Remove Abilities
# Ability Name						Modify VAR
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceReplaceSkilled|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.AphoriteSkilled
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceAphoriteMagic|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.AphoriteAphoriteMagic
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceCrystallineDust|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.AphoriteCrystallineDust
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceAphoriteResistances|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.AphoriteAphoriteResistances
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceSpeed|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.AphoriteSpeed
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceVision|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.AphoriteRacialVision
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceLanguages|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.AphoriteRacialLanguage


CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceAbilityScores|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceAbilityScores=true
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceSize|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceSize=true
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceSpeed|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceSpeed=True
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceVision|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceVision=True
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceSkilled|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceSkilled=True
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceAphoriteMagic|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceAphoriteMagic=True
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceCrystallineDust|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceCrystallineDust=True
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceAphoriteResistances|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceAphoriteResistances=True
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	BONUS:VAR|Aphorite_ReplaceLanguages|1|TYPE=Boolean|PREFACT:1,ABILITIES,Aphorite_ReplaceLanguages=true


# ------------------------------
# Duskwalker
# ------------------------------

###Block: Grant Abilities
# Ability Name					Define						Ability
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceAbilityScores|0			ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Ability Scores|PREVAREQ:Duskwalker_ReplaceAbilityScores,0
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceSize|0				ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Size|PREVAREQ:Duskwalker_ReplaceSize,0
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceSpeed|0				ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Speed|PREVAREQ:Duskwalker_ReplaceSpeed,0
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceVision|0				ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Vision|PREVAREQ:Duskwalker_ReplaceVision,0
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceSkilled|0				ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Skilled|PREVAREQ:Duskwalker_ReplaceSkilled,0
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceGhostHunter|0			ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Ghost Hunter|PREVAREQ:Duskwalker_ReplaceGhostHunter,0
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceWardAgainstCorruption|0	ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Ward Against Corruption|PREVAREQ:Duskwalker_ReplaceWardAgainstCorruption,0
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	DEFINE:Duskwalker_ReplaceLanguages|0			ABILITY:Duskwalker Racial Trait|AUTOMATIC|Duskwalker ~ Languages|PREVAREQ:Duskwalker_ReplaceLanguages,0


###Block: Remove Abilities
# Ability Name					Modify VAR
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceVision|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.DuskwalkerRacialVision
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceSkilled|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.DuskwalkerSkilled
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceGhostHunter|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.DuskwalkerGhostHunter
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceWardAgainstCorruption|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.DuskwalkerWardAgainstCorruption
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceLanguages|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.DuskwalkerRacialLanguage


CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceAbilityScores|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceAbilityScores=true
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceSize|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceSize=true
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceSpeed|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceSpeed=true
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceVision|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceVision=true
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceSkilled|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceSkilled=true
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceGhostHunter|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceGhostHunter=true
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceWardAgainstCorruption|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceWardAgainstCorruption=true
CATEGORY=Internal|Racial Traits ~ Duskwalker.MOD	BONUS:VAR|Duskwalker_ReplaceLanguages|1|TYPE=Boolean|PREFACT:1,ABILITIES,Duskwalker_ReplaceLanguages=true



# ------------------------------
# Ganzi
# ------------------------------

###Block: Grant Abilities
# Ability Name						Define						Ability
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceAbilityScores|0		ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Ability Scores|PREVAREQ:Ganzi_ReplaceAbilityScores,0
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceSize|0			ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Size|PREVAREQ:Ganzi_ReplaceSize,0
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceSpeed|0			ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Speed|PREVAREQ:Ganzi_ReplaceSpeed,0
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceVision|0			ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Vision|PREVAREQ:Ganzi_ReplaceVision,0
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceMaelstromResistance|0	ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Maelstrom Resistance|PREVAREQ:Ganzi_ReplaceMaelstromResistance,0
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceSkilled|0			ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Skilled|PREVAREQ:Ganzi_ReplaceSkilled,0
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceGanziOddity|0		ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Ganzi Oddity|PREVAREQ:Ganzi_ReplaceGanziOddity,0
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	DEFINE:Ganzi_ReplaceLanguages|0		ABILITY:Ganzi Racial Trait|AUTOMATIC|Ganzi ~ Languages|PREVAREQ:Ganzi_ReplaceLanguages,0


###Block: Remove Abilities
# Ability Name						Modify VAR
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceVision|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GanziRacialVision
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceMaelstromResistance|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GanziMaelstromResistance
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceSkilled|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.Skilled
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceGanziOddity|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GanziGanziOddity
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceIllusionResistance|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GanziIllusionResistance
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceLanguages|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GanziRacialLanguage


CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceAbilityScores|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceAbilityScores=true
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceSize|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceSize=true
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceSpeed|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceSpeed=true
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceVision|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceVision=true
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceMaelstromResistance|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceMaelstromResistance=true
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceSkilled|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceSkilled=true
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceGanziOddity|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceGanziOddity=true
CATEGORY=Internal|Racial Traits ~ Ganzi.MOD	BONUS:VAR|Ganzi_ReplaceLanguages|1|TYPE=Boolean|PREFACT:1,ABILITIES,Ganzi_ReplaceLanguages=true
